date,mean,size,conjunto
2013-01-02,0.43,100,D0
2013-01-09,0.44,100,D0
2013-01-16,0.48,100,D0
2013-01-23,0.31,100,D0
2013-01-30,0.54,100,D0
2013-02-06,0.42,100,D0
2013-02-13,0.31,100,D0
2013-02-20,0.32,100,D0
2013-02-27,0.46,100,D0
2013-03-06,0.33,100,D0
2013-03-13,0.44,100,D0
2013-03-20,0.3,100,D0
2013-03-27,0.41,100,D0
2013-04-03,0.42,100,D0
2013-04-10,0.35,100,D0
2013-04-17,0.35,100,D0
2013-04-24,0.33,100,D0
2013-05-01,0.38,100,D0
2013-05-08,0.44,100,D0
2013-05-15,0.36,100,D0
2013-05-22,0.41,100,D0
2013-05-29,0.35,100,D0
2013-06-05,0.43,100,D0
2013-06-12,0.31,100,D0
2013-06-19,0.46,100,D0
2013-06-26,0.3,100,D0
2013-07-03,0.46,100,D0
2013-07-10,0.45,100,D0
2013-07-17,0.37,100,D0
2013-07-24,0.45,100,D0
2013-07-31,0.2,100,D0
2013-08-07,0.49,100,D0
2013-08-14,0.37,100,D0
2013-08-21,0.33,100,D0
2013-08-28,0.41,100,D0
2013-09-04,0.29,100,D0
2013-09-11,0.53,100,D0
2013-09-18,0.38,100,D0
2013-09-25,0.25,100,D0
2013-10-02,0.31,100,D0
2013-10-09,0.39,100,D0
2013-10-16,0.37,100,D0
2013-10-23,0.44,100,D0
2013-10-30,0.34,100,D0
2013-11-06,0.39,100,D0
2013-11-13,0.36,100,D0
2013-11-20,0.48,100,D0
2013-11-27,0.34,100,D0
2013-12-04,0.52,100,D0
2013-12-11,0.43,100,D0
2013-12-18,0.4,100,D0
2013-12-25,0.27,100,D0
2014-01-01,0.4,100,D0
2014-01-08,0.5,100,D0
2014-01-15,0.36,100,D0
2014-01-22,0.45,100,D0
2014-01-29,0.48,100,D0
2014-02-05,0.25,100,D0
2014-02-12,0.59,100,D0
2014-02-19,0.39,100,D0
2014-02-26,0.53,100,D0
2014-03-05,0.41,100,D0
2014-03-12,0.31,100,D0
2014-03-19,0.32,100,D0
2014-03-26,0.49,100,D0
2014-04-02,0.37,100,D0
2014-04-09,0.4,100,D0
2014-04-16,0.37,100,D0
2014-04-23,0.32,100,D0
2014-04-30,0.35,100,D0
