,count,mean,std,min,25%,50%,75%,max
rank,42800.0,50.5,28.866407274075954,1.0,25.75,50.5,75.25,100.0
rank_lag1,42800.0,53.07841121495327,31.228474481603413,1.0,26.0,53.0,80.0,101.0
rank_lag2,42800.0,55.42626168224299,32.833154864599784,1.0,26.0,55.0,86.0,101.0
variacao_1s,42800.0,2.578411214953271,16.07690870265651,-80.0,-4.0,0.0,5.0,100.0
peak_pos,42800.0,38.382289719626165,29.06023693750586,1.0,11.0,36.0,62.0,100.0
distancia_pico,42800.0,12.117710280373831,16.625682045535093,0.0,0.0,4.0,19.0,99.0
semanas_na_parada,42800.0,11.950046728971962,10.296289611037206,1.0,4.0,10.0,17.0,85.0
hiato_semanas,42800.0,0.023154205607476636,0.21169647408760633,0.0,0.0,0.0,0.0,3.0
estreia,42800.0,0.10182242990654206,0.30241818648131097,0.0,0.0,0.0,0.0,1.0
reentrada,42800.0,0.010981308411214953,0.10421599223653259,0.0,0.0,0.0,0.0,1.0
radio_rank,42800.0,38.3975,16.33510580007267,1.0,26.0,51.0,51.0,51.0
radio_presente,42800.0,0.48735981308411214,0.49984603949573564,0.0,0.0,0.0,1.0,1.0
streaming_rank,42800.0,39.205841121495325,16.378866317464144,1.0,27.0,51.0,51.0,51.0
streaming_presente,42800.0,0.4346728971962617,0.49571979099479546,0.0,0.0,0.0,1.0,1.0
digital_rank,42800.0,39.54390186915888,16.23900721907877,1.0,28.0,51.0,51.0,51.0
digital_presente,42800.0,0.42705607476635515,0.49465634607112935,0.0,0.0,0.0,1.0,1.0
album_rank,42800.0,131.56691588785046,82.84065874496632,1.0,37.0,201.0,201.0,201.0
album_presente,42800.0,0.4583878504672897,0.4982712412040548,0.0,0.0,0.0,1.0,1.0
mes,42800.0,6.397196261682243,3.486488670751268,1.0,3.0,6.0,9.0,12.0
semana_ano,42800.0,26.13317757009346,15.250688257291642,1.0,13.0,26.0,39.0,53.0
alvo,42800.0,0.36161214953271026,0.48047288855114817,0.0,0.0,0.0,1.0,1.0
