atributo,inferior,superior,proporcao_referencia,proporcao_recente,referencia,recente
rank,-inf,10.900000000000546,0.1,0.1,D0,D1
rank,10.900000000000546,20.80000000000109,0.1,0.1,D0,D1
rank,20.80000000000109,30.700000000002547,0.1,0.1,D0,D1
rank,30.700000000002547,40.60000000000218,0.1,0.1,D0,D1
rank,40.60000000000218,50.5,0.1,0.1,D0,D1
rank,50.5,60.40000000000509,0.1,0.1,D0,D1
rank,60.40000000000509,70.30000000000291,0.1,0.1,D0,D1
rank,70.30000000000291,80.20000000000437,0.1,0.1,D0,D1
rank,80.20000000000437,90.09999999999854,0.1,0.1,D0,D1
rank,90.09999999999854,inf,0.1,0.1,D0,D1
rank_lag1,-inf,11.0,0.09964957364793832,0.09894403379091869,D0,D1
rank_lag1,11.0,21.0,0.09922906202546432,0.09838085181274199,D0,D1
rank_lag1,21.0,31.0,0.09855157107814508,0.09655051038366773,D0,D1
rank_lag1,31.0,41.0,0.09644901296577503,0.09331221400915171,D0,D1
rank_lag1,41.0,53.0,0.10406494568391543,0.10380147835269271,D0,D1
rank_lag1,53.0,63.0,0.0935755168788693,0.0894403379091869,D0,D1
rank_lag1,63.0,74.0,0.10014017054082466,0.09549454417458642,D0,D1
rank_lag1,74.0,86.0,0.10292021960051397,0.09408658922914467,D0,D1
rank_lag1,86.0,101.0,0.10359771054783319,0.09120028159098909,D0,D1
rank_lag1,101.0,inf,0.10182221703072071,0.1387891587469201,D0,D1
rank_lag2,-inf,11.0,0.0991823385118561,0.09753607884547695,D0,D1
rank_lag2,11.0,21.0,0.09834131526690808,0.09472016895459345,D0,D1
rank_lag2,21.0,31.0,0.09642565120897091,0.08986272439281943,D0,D1
rank_lag2,31.0,43.0,0.10497605419927579,0.10147835269271384,D0,D1
rank_lag2,43.0,55.0,0.09418292255577619,0.09429778247096093,D0,D1
rank_lag2,55.0,67.0,0.10462562784721412,0.0966209081309398,D0,D1
rank_lag2,67.0,79.0,0.0967994393178367,0.0878211897219289,D0,D1
rank_lag2,79.0,94.0,0.10002336175680411,0.08585005279831046,D0,D1
rank_lag2,94.0,101.0,0.03650274500642448,0.03009503695881732,D0,D1
rank_lag2,101.0,inf,0.16894054432893355,0.22171770503343893,D0,D1
variacao_1s,-inf,-10.0,0.08787524821866605,0.15012319605772614,D0,D1
variacao_1s,-10.0,-5.0,0.09971965891835066,0.1044350580781415,D0,D1
variacao_1s,-5.0,-3.0,0.07362457656815792,0.0662090813093981,D0,D1
variacao_1s,-3.0,-1.0,0.10855040299030487,0.08768039422738472,D0,D1
variacao_1s,-1.0,0.0,0.07215278588949889,0.061070045758535724,D0,D1
variacao_1s,0.0,2.0,0.15293774091811704,0.12639915522703274,D0,D1
variacao_1s,2.0,4.0,0.09647237472257914,0.0766983456529391,D0,D1
variacao_1s,4.0,7.0,0.09450998715103376,0.07831749384019711,D0,D1
variacao_1s,7.0,15.0,0.11210139002452985,0.0972544878563886,D0,D1
variacao_1s,15.0,inf,0.10205583459876183,0.15181274199225625,D0,D1
peak_pos,-inf,3.0,0.09621539539773391,0.11731784582893347,D0,D1
peak_pos,3.0,7.0,0.08890316551804696,0.09655051038366773,D0,D1
peak_pos,7.0,14.0,0.10485924541525522,0.13076381555790215,D0,D1
peak_pos,14.0,24.0,0.10432192500876065,0.13505807814149948,D0,D1
peak_pos,24.0,36.0,0.10471907487443055,0.12090813093980993,D0,D1
peak_pos,36.0,46.0,0.09165985282093213,0.07831749384019711,D0,D1
peak_pos,46.0,56.0,0.10147179067865904,0.0812038014783527,D0,D1
peak_pos,56.0,68.0,0.10773274150216096,0.09204505455825414,D0,D1
peak_pos,68.0,81.0,0.09516411634154888,0.07198169658570926,D0,D1
peak_pos,81.0,inf,0.10495269244247167,0.07585357268567405,D0,D1
distancia_pico,-inf,0.0,1.1681151294271564e-05,3.52013517319065e-05,D0,D1
distancia_pico,0.0,1.0,0.3711218577703018,0.28840467473951,D0,D1
distancia_pico,1.0,4.0,0.10923044575273338,0.08487045902562658,D0,D1
distancia_pico,4.0,9.0,0.11577189047752547,0.10373838355392848,D0,D1
distancia_pico,9.0,15.0,0.09283010933557612,0.097894959166432,D0,D1
distancia_pico,15.0,24.0,0.10516540510232689,0.11986060264714166,D0,D1
distancia_pico,24.0,37.0,0.1039272030651341,0.12901295409743735,D0,D1
distancia_pico,37.0,inf,0.10194140734510794,0.17618276541819206,D0,D1
semanas_na_parada,-inf,1.0,1.1680878402055835e-05,3.5198873636043646e-05,D0,D1
semanas_na_parada,1.0,3.0,0.16894054432893355,0.22171770503343893,D0,D1
semanas_na_parada,3.0,5.0,0.10899427636958299,0.12069693769799367,D0,D1
semanas_na_parada,5.0,7.0,0.09465015769185843,0.09436818021823301,D0,D1
semanas_na_parada,7.0,10.0,0.12651559397266673,0.11379795846532911,D0,D1
semanas_na_parada,10.0,12.0,0.07603083751898143,0.06719464977120732,D0,D1
semanas_na_parada,12.0,15.0,0.10287349608690574,0.0900739176346357,D0,D1
semanas_na_parada,15.0,19.0,0.11668029435813573,0.0966913058782119,D0,D1
semanas_na_parada,19.0,25.0,0.09574816026165167,0.08387891587469201,D0,D1
semanas_na_parada,25.0,inf,0.10955495853288168,0.11154523055262232,D0,D1
hiato_semanas,-inf,0.0,1.1681970047428799e-05,3.5208788113513136e-05,D0,D1
hiato_semanas,0.0,inf,0.9999883180299526,0.9999647912118865,D0,D1
radio_rank,-inf,11.0,0.09946732705651473,0.09487432232626909,D0,D1
radio_rank,11.0,21.0,0.09911688433053759,0.0968457368161656,D0,D1
radio_rank,21.0,31.0,0.09897670724014672,0.09754981341970007,D0,D1
radio_rank,31.0,41.0,0.09801883045580917,0.08874885587551926,D0,D1
radio_rank,41.0,51.0,0.09180431278181436,0.07389283954094206,D0,D1
radio_rank,51.0,inf,0.5126159381351775,0.5480884320214039,D0,D1
streaming_rank,-inf,11.0,0.09752821063944116,0.09909878194747589,D0,D1
streaming_rank,11.0,21.0,0.09628997967432189,0.09839470534394142,D0,D1
streaming_rank,21.0,32.0,0.09801883045580917,0.10374568753080335,D0,D1
streaming_rank,32.0,46.0,0.10797140387356026,0.11789762726184609,D0,D1
streaming_rank,46.0,51.0,0.03489241408312502,0.034534957403365485,D0,D1
