arquivo,date,title,artist,rank,key_titulo,key_artista
billboard200,2023-05-17,-,Ed Sheeran,2,,ed sheeran
billboard200,2023-05-17,=,Ed Sheeran,91,,ed sheeran
billboard200,2023-05-24,-,Ed Sheeran,9,,ed sheeran
billboard200,2023-05-24,=,Ed Sheeran,90,,ed sheeran
billboard200,2023-05-31,-,Ed Sheeran,23,,ed sheeran
billboard200,2023-05-31,=,Ed Sheeran,90,,ed sheeran
billboard200,2023-06-07,-,Ed Sheeran,32,,ed sheeran
billboard200,2023-06-07,=,Ed Sheeran,83,,ed sheeran
billboard200,2023-06-14,-,Ed Sheeran,49,,ed sheeran
billboard200,2023-06-14,=,Ed Sheeran,85,,ed sheeran
billboard200,2023-06-21,-,Ed Sheeran,62,,ed sheeran
billboard200,2023-06-21,=,Ed Sheeran,93,,ed sheeran
billboard200,2023-06-28,-,Ed Sheeran,84,,ed sheeran
billboard200,2023-06-28,=,Ed Sheeran,99,,ed sheeran
billboard200,2023-07-05,=,Ed Sheeran,91,,ed sheeran
billboard200,2023-07-05,-,Ed Sheeran,97,,ed sheeran
billboard200,2023-07-12,-,Ed Sheeran,93,,ed sheeran
billboard200,2023-07-12,=,Ed Sheeran,103,,ed sheeran
billboard200,2023-07-19,=,Ed Sheeran,102,,ed sheeran
billboard200,2023-07-19,-,Ed Sheeran,105,,ed sheeran
billboard200,2023-07-26,=,Ed Sheeran,99,,ed sheeran
billboard200,2023-07-26,-,Ed Sheeran,161,,ed sheeran
billboard200,2023-08-02,=,Ed Sheeran,102,,ed sheeran
billboard200,2023-08-02,-,Ed Sheeran,179,,ed sheeran
billboard200,2023-08-09,=,Ed Sheeran,115,,ed sheeran
billboard200,2023-08-09,-,Ed Sheeran,185,,ed sheeran
billboard200,2023-08-16,=,Ed Sheeran,105,,ed sheeran
billboard200,2023-08-16,-,Ed Sheeran,195,,ed sheeran
billboard200,2023-08-23,=,Ed Sheeran,104,,ed sheeran
billboard200,2023-08-23,-,Ed Sheeran,185,,ed sheeran
