arquivo,key_artista,artist,variantes
hot100,justin bieber & nicki minaj,Justin Bieber Featuring Nicki Minaj,2
hot100,macklemore & ryan lewis & wanz,Macklemore & Ryan Lewis Featuring Wanz,2
hot100,swedish house mafia & john martin,Swedish House Mafia Featuring John Martin,2
hot100,will i am & britney spears,will.i.am & Britney Spears,2
hot100,alicia keys & nicki minaj,Alicia Keys Featuring Nicki Minaj,2
hot100,florida georgia line & nelly,Florida Georgia Line Featuring Nelly,2
hot100,calvin harris & florence welch,Calvin Harris Featuring Florence Welch,2
hot100,pitbull & tjr,Pitbull Featuring TJR,2
hot100,lil wayne & detail,Lil Wayne Featuring Detail,2
hot100,justin bieber & big sean,Justin Bieber Featuring Big Sean,2
hot100,the script & will i am,The Script Featuring will.i.am,2
hot100,juicy j & lil wayne & 2 chainz,Juicy J Featuring Lil Wayne & 2 Chainz,2
hot100,gotye & kimbra,Gotye Featuring Kimbra,2
hot100,t i & lil wayne,T.I. Featuring Lil Wayne,2
hot100,kendrick lamar & drake,Kendrick Lamar Featuring Drake,2
hot100,jonn hart & iamsu,Jonn Hart Featuring IamSU!,2
hot100,justin timberlake & jay z,Justin Timberlake Featuring JAY Z,2
hot100,b o b & t i & juicy j,B.o.B Featuring T.I. & Juicy J,2
hot100,lil wayne & drake & future,Lil Wayne Featuring Drake & Future,2
hot100,olly murs & flo rida,Olly Murs Featuring Flo Rida,2
hot100,pitbull & christina aguilera,Pitbull Featuring Christina Aguilera,2
hot100,icona pop & charli xcx,Icona Pop Featuring Charli xcx,2
hot100,macklemore & ryan lewis & ray dalton,Macklemore & Ryan Lewis Featuring Ray Dalton,2
hot100,macklemore & ryan lewis & mary lambert,Macklemore & Ryan Lewis Featuring Mary Lambert,2
hot100,rihanna & future,Rihanna Featuring Future,2
hot100,rihanna & mikky ekko,Rihanna Featuring Mikky Ekko,2
hot100,p nk & nate ruess,P!nk Featuring Nate Ruess,2
hot100,j cole & miguel,J. Cole Featuring Miguel,2
hot100,will i am & justin bieber,will.i.am Featuring Justin Bieber,2
hot100,lil wayne & 2 chainz,Lil Wayne Featuring 2 Chainz,2
hot100,zedd & foxes,Zedd Featuring Foxes,2
hot100,ariana grande & mac miller,Ariana Grande Featuring Mac Miller,2
hot100,daft punk & pharrell williams,Daft Punk Featuring Pharrell Williams,2
hot100,calvin harris & ellie goulding,Calvin Harris Featuring Ellie Goulding,2
hot100,robin thicke & t i pharrell,Robin Thicke Featuring T.I. + Pharrell,2
hot100,dj khaled & drake rick ross & lil wayne,"""DJ Khaled Featuring Drake, Rick Ross & Lil Wayne""",2
hot100,mariah carey & miguel,Mariah Carey Featuring Miguel,2
hot100,taylor swift & ed sheeran,Taylor Swift Featuring Ed Sheeran,2
hot100,j cole & tlc,J. Cole Featuring TLC,2
hot100,rihanna & david guetta,Rihanna Featuring David Guetta,2
hot100,big sean & lil wayne & jhene aiko,Big Sean Featuring Lil Wayne & Jhene Aiko,2
hot100,jay z & justin timberlake,Jay Z Featuring Justin Timberlake,2
hot100,jay z & beyonce,Jay Z Featuring Beyonce,2
hot100,jay z & frank ocean,Jay Z Featuring Frank Ocean,2
hot100,chris brown & nicki minaj,Chris Brown Featuring Nicki Minaj,2
hot100,p nk & lily allen,P!nk Featuring Lily Allen,2
hot100,drake & majid jordan,Drake Featuring Majid Jordan,2
hot100,robin thicke & kendrick lamar,Robin Thicke Featuring Kendrick Lamar,2
hot100,zedd & hayley williams,Zedd Featuring Hayley Williams,2
hot100,drake & 2 chainz & big sean,Drake Featuring 2 Chainz & Big Sean,2
hot100,sevyn streeter & chris brown,Sevyn Streeter Featuring Chris Brown,2
hot100,pitbull & ke ha,Pitbull Featuring Ke$ha,2
hot100,lady gaga & r kelly,Lady Gaga Featuring R. Kelly,2
hot100,eminem & rihanna,Eminem Featuring Rihanna,2
hot100,nat king cole,"Nat ""King"" Cole",2
hot100,jason derulo & 2 chainz,Jason Derulo Featuring 2 Chainz,2
hot100,ty dolla ign & b o b,Ty Dolla $ign Featuring B.o.B,2
hot100,jennifer lopez & french montana,Jennifer Lopez Featuring French Montana,2
hot100,tim mcgraw & faith hill,Tim McGraw Featuring Faith Hill,2
hot100,ariana grande & the weeknd,Ariana Grande & The Weeknd,2
hot100,drake & future,Drake & Future,2
hot100,2 chainz & lil wayne,2 Chainz Featuring Lil Wayne,2
hot100,drake & future,Drake Featuring Future,2
hot100,gucci mane & drake,Gucci Mane & Drake,2
hot100,drake & 21 savage,Drake Featuring 21 Savage,2
hot100,the weeknd & kendrick lamar,The Weeknd Featuring Kendrick Lamar,2
hot100,gucci mane & drake,Gucci Mane Featuring Drake,2
hot100,tim mcgraw & faith hill,Tim McGraw & Faith Hill,2
hot100,jay z & beyonce,Jay-Z Featuring Beyonce,2
hot100,jay z & frank ocean,Jay-Z Featuring Frank Ocean,2
hot100,meek mill & lil uzi vert,Meek Mill & Lil Uzi Vert,2
hot100,marshmello & khalid,Marshmello Featuring Khalid,2
hot100,future & young thug,Future & Young Thug,2
hot100,trippie redd & travis scott,Trippie Redd Featuring Travis Scott,2
hot100,the weeknd & kendrick lamar,The Weeknd & Kendrick Lamar,2
hot100,post malone & swae lee,Post Malone Featuring Swae Lee,2
hot100,eminem & jessie reyez,Eminem & Jessie Reyez,2
hot100,eminem & jessie reyez,Eminem Featuring Jessie Reyez,2
hot100,lil baby & gunna,Lil Baby & Gunna,2
hot100,post malone & swae lee,Post Malone & Swae Lee,2
hot100,metro boomin & gunna,Metro Boomin Featuring Gunna,2
hot100,metro boomin & travis scott,Metro Boomin Featuring Travis Scott,2
hot100,trippie redd & juice wrld,Trippie Redd Featuring Juice WRLD,2
hot100,lil baby & gunna,Lil Baby Featuring Gunna,2
hot100,offset & cardi b,Offset Featuring Cardi B,2
hot100,young thug & gunna,Young Thug Featuring Gunna,2
hot100,eminem & skylar grey,Eminem Featuring Skylar Grey,2
hot100,dababy & youngboy never broke again,DaBaby Featuring YoungBoy Never Broke Again,2
hot100,future & lil uzi vert,Future Featuring Lil Uzi Vert,2
hot100,future & young thug,Future Featuring Young Thug,2
hot100,cardi b & megan thee stallion,Cardi B Featuring Megan Thee Stallion,2
hot100,ariana grande & the weeknd,Ariana Grande Featuring The Weeknd,2
hot100,king von & lil durk,King Von Featuring Lil Durk,2
hot100,future & lil uzi vert,Future & Lil Uzi Vert,2
hot100,nat king cole,Nat King Cole,2
hot100,lil baby & est gee,Lil Baby Featuring EST Gee,2
hot100,moneybagg yo & future,Moneybagg Yo & Future,2
hot100,young thug & gunna,Young Thug & Gunna,2
hot100,meek mill & lil uzi vert,Meek Mill Featuring Lil Uzi Vert,2
hot100,dababy & youngboy never broke again,DaBaby & YoungBoy Never Broke Again,2
hot100,king von & lil durk,King Von & Lil Durk,2
hot100,camila cabello & willow,Camila Cabello Featuring Willow,2
hot100,marshmello & khalid,Marshmello & Khalid,2
hot100,youngboy never broke again & rod wave,YoungBoy Never Broke Again Featuring Rod Wave,2
hot100,lil baby & est gee,Lil Baby & EST Gee,2
hot100,drake & 21 savage,Drake & 21 Savage,2
hot100,metro boomin & travis scott,Metro Boomin & Travis Scott,2
hot100,metro boomin & gunna,Metro Boomin & Gunna,2
hot100,trippie redd & juice wrld,Trippie Redd & Juice WRLD,2
hot100,trippie redd & travis scott,Trippie Redd & Travis Scott,2
hot100,moneybagg yo & future,Moneybagg Yo Featuring Future,2
hot100,offset & cardi b,Offset & Cardi B,2
hot100,cardi b & megan thee stallion,Cardi B & Megan Thee Stallion,2
hot100,nsync,*NSYNC,2
hot100,youngboy never broke again & rod wave,YoungBoy Never Broke Again & Rod Wave,2
radio,justin bieber & nicki minaj,Justin Bieber Feat. Nicki Minaj,2
radio,swedish house mafia & john martin,Swedish House Mafia Feat. John Martin,2
radio,alicia keys & nicki minaj,Alicia Keys Feat. Nicki Minaj,2
radio,pitbull & tjr,Pitbull Feat. TJR,2
radio,will i am & britney spears,will.i.am Feat. Britney Spears,2
radio,florida georgia line & nelly,Florida Georgia Line Feat. Nelly,2
radio,calvin harris & florence welch,Calvin Harris Feat. Florence Welch,2
radio,justin bieber & big sean,Justin Bieber Feat. Big Sean,2
radio,lil wayne & detail,Lil Wayne Feat. Detail,2
radio,juicy j & lil wayne & 2 chainz,Juicy J Feat. Lil Wayne & 2 Chainz,2
radio,t i & lil wayne,T.I. Feat. Lil Wayne,2
radio,gotye & kimbra,Gotye Feat. Kimbra,2
radio,macklemore & ryan lewis & wanz,Macklemore & Ryan Lewis Feat. Wanz,2
radio,justin timberlake & jay z,Justin Timberlake Feat. Jay-Z,2
radio,jonn hart & iamsu,Jonn Hart Feat. iamSU,2
radio,kendrick lamar & drake,Kendrick Lamar Feat. Drake,2
radio,the script & will i am,The Script Feat. will.i.am,2
radio,lil wayne & drake & future,Lil Wayne Feat. Drake & Future,2
radio,pitbull & christina aguilera,Pitbull Feat. Christina Aguilera,2
radio,olly murs & flo rida,Olly Murs Feat. Flo Rida,2
radio,rihanna & mikky ekko,Rihanna Feat. Mikky Ekko,2
radio,rihanna & future,Rihanna Feat. Future,2
radio,p nk & nate ruess,P!nk Feat. Nate Ruess,2
radio,macklemore & ryan lewis & ray dalton,Macklemore & Ryan Lewis Feat. Ray Dalton,2
radio,icona pop & charli xcx,Icona Pop Feat. Charli xcx,2
radio,will i am & justin bieber,will.i.am Feat. Justin Bieber,2
radio,j cole & miguel,J. Cole Feat. Miguel,2
radio,ariana grande & mac miller,Ariana Grande Feat. Mac Miller,2
radio,mariah carey & miguel,Mariah Carey Feat. Miguel,2
radio,daft punk & pharrell williams,Daft Punk Feat. Pharrell Williams,2
radio,zedd & foxes,Zedd Feat. Foxes,2
radio,b o b & t i & juicy j,B.o.B Feat. T.I. & Juicy J,2
radio,robin thicke & t i pharrell,Robin Thicke Feat. T.I. + Pharrell,2
radio,calvin harris & ellie goulding,Calvin Harris Feat. Ellie Goulding,2
radio,lil wayne & 2 chainz,Lil Wayne Feat. 2 Chainz,2
radio,dj khaled & drake rick ross & lil wayne,"""DJ Khaled Feat. Drake, Rick Ross & Lil Wayne""",2
radio,macklemore & ryan lewis & mary lambert,Macklemore & Ryan Lewis Feat. Mary Lambert,2
radio,rihanna & david guetta,Rihanna Feat. David Guetta,2
radio,jay z & justin timberlake,Jay-Z Feat. Justin Timberlake,2
radio,j cole & tlc,J. Cole Feat. TLC,2
radio,p nk & lily allen,P!nk Feat. Lily Allen,2
radio,drake & majid jordan,Drake Feat. Majid Jordan,2
radio,taylor swift & ed sheeran,Taylor Swift Feat. Ed Sheeran,2
radio,robin thicke & kendrick lamar,Robin Thicke Feat. Kendrick Lamar,2
radio,chris brown & nicki minaj,Chris Brown Feat. Nicki Minaj,2
radio,big sean & lil wayne & jhene aiko,Big Sean Feat. Lil Wayne & Jhene Aiko,2
radio,zedd & hayley williams,Zedd Feat. Hayley Williams,2
radio,eminem & rihanna,Eminem Feat. Rihanna,2
radio,pitbull & ke ha,Pitbull Feat. Ke$ha,2
radio,sevyn streeter & chris brown,Sevyn Streeter Feat. Chris Brown,2
radio,drake & 2 chainz & big sean,Drake Feat. 2 Chainz & Big Sean,2
radio,lady gaga & r kelly,Lady Gaga Feat. R. Kelly,2
radio,jason derulo & 2 chainz,Jason Derulo Feat. 2 Chainz,2
radio,ty dolla ign & b o b,Ty Dolla $ign Feat. B.o.B,2
streaming,david guetta & sia,David Guetta Featuring Sia,2
streaming,gwen stefani & blake shelton,Gwen Stefani Featuring Blake Shelton,2
digital,david guetta & sia,David Guetta & Sia,2
digital,jennifer lopez & french montana,Jennifer Lopez & French Montana,2
digital,jake hoot & kelly clarkson,Jake Hoot & Kelly Clarkson,2
digital,eminem & skylar grey,Eminem & Skylar Grey,2
digital,jake hoot & kelly clarkson,Jake Hoot Featuring Kelly Clarkson,2
digital,dr dre & eminem,Dr. Dre Featuring Eminem,2
digital,dr dre & eminem,Dr. Dre & Eminem,2
digital,camila cabello & willow,Camila Cabello Featuring WILLOW,2
digital,gwen stefani & blake shelton,Gwen Stefani & Blake Shelton,2
billboard200,nsync,*NSync,2
billboard200,2 chainz & lil wayne,2 Chainz & Lil Wayne,2
