fold,seed,teto,epoca,perda
1,42,100,1,0.6208926442089371
1,42,100,2,0.591585191195852
1,42,100,3,0.5801047853933919
1,42,100,4,0.5716448726984786
1,42,100,5,0.5657661427776128
1,42,100,6,0.5621009528361178
1,42,100,7,0.5604534097200651
1,42,100,8,0.5577940016038275
1,42,100,9,0.5565578437365855
1,42,100,10,0.5535583247161965
1,42,100,11,0.5522228480547204
1,42,100,12,0.5512640971529585
1,42,100,13,0.550277980634623
1,42,100,14,0.5489079123607942
1,42,100,15,0.5484394957798935
1,42,100,16,0.5490091043460502
1,42,100,17,0.5474875684636985
1,42,100,18,0.5462575635291431
1,42,100,19,0.544408528543226
1,42,100,20,0.5443029683914388
1,42,100,21,0.5432552267600337
1,42,100,22,0.5436546643046877
1,42,100,23,0.5427313253879384
1,42,100,24,0.5427297160501997
1,42,100,25,0.5410444757503093
1,42,100,26,0.5406715457353672
1,42,100,27,0.5393303789323635
1,42,100,28,0.5407452530819656
1,42,100,29,0.5400083692558759
1,42,100,30,0.538976924682784
1,42,100,31,0.5405836268789359
1,42,100,32,0.5387644140528837
1,42,100,33,0.5369416238233167
1,42,100,34,0.5382656189981938
1,42,100,35,0.5364318460130709
1,42,100,36,0.5371887093936253
1,42,100,37,0.5359951310198253
1,42,100,38,0.535334792224705
1,42,100,39,0.5338295635174027
1,42,100,40,0.5333348041782234
1,42,100,41,0.5332404423965956
1,42,100,42,0.5337997518622513
1,42,100,43,0.5341803535049447
1,42,100,44,0.533098066224091
1,42,100,45,0.5324338953895141
1,42,100,46,0.5309887318453332
1,42,100,47,0.5316263530861243
1,42,100,48,0.5319528677058953
1,42,100,49,0.531380021199257
1,42,100,50,0.5313474102789659
1,42,100,51,0.5311444825056206
1,42,100,52,0.5308245465857475
1,42,100,53,0.5283572260699435
1,42,100,54,0.5285898508569169
1,42,100,55,0.5321598924086841
1,42,100,56,0.5302180142813515
1,42,100,57,0.5286565312795657
1,42,100,58,0.5293338791824468
1,42,100,59,0.5287423322721387
1,42,100,60,0.5292154865640137
1,42,100,61,0.527488669796987
1,42,100,62,0.5272658459476376
1,42,100,63,0.5269829520445709
1,42,100,64,0.52688835845457
1,42,100,65,0.5260785601866244
1,42,100,66,0.528563075898532
1,42,100,67,0.527477187020532
1,42,100,68,0.5250916914200974
1,42,100,69,0.5251740018432327
1,42,100,70,0.5251153188642713
1,42,100,71,0.5255792094808678
1,42,100,72,0.5260379710647299
1,42,100,73,0.5248512484793303
1,42,100,74,0.5243541489222865
1,42,100,75,0.525040469803995
1,42,100,76,0.5259414508053236
1,42,100,77,0.5261520698734488
1,42,100,78,0.5268064883190187
1,42,100,79,0.5250487409063284
1,42,100,80,0.5238107941713053
1,42,100,81,0.5241090331446765
1,42,100,82,0.5237962580867378
1,42,100,83,0.5236120364213042
1,42,100,84,0.5226138167453608
1,42,100,85,0.5240816876317903
1,42,100,86,0.5233761980609823
1,42,100,87,0.5231409747765432
1,42,100,88,0.5226825458238374
1,42,100,89,0.523555600879882
1,42,100,90,0.5254194055601735
1,42,100,91,0.5215736362352597
1,42,100,92,0.5236520778422472
1,42,100,93,0.5224386416216379
1,42,100,94,0.521958257478819
1,42,100,95,0.5206202712760248
1,42,100,96,0.5221838734283107
1,42,100,97,0.5226856187064565
1,42,100,98,0.5210523466473757
1,42,100,99,0.522035836988952
1,42,100,100,0.5207336683696278
1,42,800,1,0.6208926442089371
1,42,800,2,0.591585191195852
1,42,800,3,0.5801047853933919
1,42,800,4,0.5716448726984786
1,42,800,5,0.5657661427776128
1,42,800,6,0.5621009528361178
1,42,800,7,0.5604534097200651
1,42,800,8,0.5577940016038275
1,42,800,9,0.5565578437365855
1,42,800,10,0.5535583247161965
1,42,800,11,0.5522228480547204
1,42,800,12,0.5512640971529585
1,42,800,13,0.550277980634623
1,42,800,14,0.5489079123607942
1,42,800,15,0.5484394957798935
1,42,800,16,0.5490091043460502
1,42,800,17,0.5474875684636985
1,42,800,18,0.5462575635291431
1,42,800,19,0.544408528543226
1,42,800,20,0.5443029683914388
1,42,800,21,0.5432552267600337
1,42,800,22,0.5436546643046877
1,42,800,23,0.5427313253879384
1,42,800,24,0.5427297160501997
1,42,800,25,0.5410444757503093
1,42,800,26,0.5406715457353672
1,42,800,27,0.5393303789323635
1,42,800,28,0.5407452530819656
1,42,800,29,0.5400083692558759
1,42,800,30,0.538976924682784
1,42,800,31,0.5405836268789359
1,42,800,32,0.5387644140528837
1,42,800,33,0.5369416238233167
1,42,800,34,0.5382656189981938
1,42,800,35,0.5364318460130709
1,42,800,36,0.5371887093936253
1,42,800,37,0.5359951310198253
1,42,800,38,0.535334792224705
1,42,800,39,0.5338295635174027
1,42,800,40,0.5333348041782234
1,42,800,41,0.5332404423965956
1,42,800,42,0.5337997518622513
1,42,800,43,0.5341803535049447
1,42,800,44,0.533098066224091
1,42,800,45,0.5324338953895141
1,42,800,46,0.5309887318453332
1,42,800,47,0.5316263530861243
1,42,800,48,0.5319528677058953
1,42,800,49,0.531380021199257
1,42,800,50,0.5313474102789659
1,42,800,51,0.5311444825056206
1,42,800,52,0.5308245465857475
1,42,800,53,0.5283572260699435
1,42,800,54,0.5285898508569169
1,42,800,55,0.5321598924086841
1,42,800,56,0.5302180142813515
1,42,800,57,0.5286565312795657
1,42,800,58,0.5293338791824468
1,42,800,59,0.5287423322721387
1,42,800,60,0.5292154865640137
1,42,800,61,0.527488669796987
1,42,800,62,0.5272658459476376
1,42,800,63,0.5269829520445709
1,42,800,64,0.52688835845457
1,42,800,65,0.5260785601866244
1,42,800,66,0.528563075898532
1,42,800,67,0.527477187020532
1,42,800,68,0.5250916914200974
