modelo,seed,conjunto,mcc,f1,precision,recall,pr_auc,roc_auc,accuracy,tn,fp,fn,tp
M0,42,D0,0.3554419606591937,0.541343718098983,0.6524790375501276,0.4625573431543581,0.6278812030890751,0.7662783121709803,0.7165654205607477,23510,3813,8318,7159
M0,42,D1,0.20346608847117686,0.36584295949700246,0.5225563909774437,0.2814398200224972,0.4712565225373713,0.6898907139426639,0.6945774647887324,8612,1143,3194,1251
MRT,42,D0+D1,0.33766241615869125,0.5278943863814018,0.6236404678842602,0.45763477562493726,0.6012772214157261,0.7535187584890313,0.7139122807017544,31576,5502,10805,9117
MREC,42,D1,0.29502155682919645,0.42314000298195914,0.6273209549071618,0.31923509561304836,0.5746068602065137,0.7513931363397617,0.7275352112676057,8912,843,3026,1419
MFT,42,D1,0.2517153413577409,0.4209794101279911,0.5515858549033904,0.3403824521934758,0.5015220235922118,0.7094709470900966,0.7069014084507043,8525,1230,2932,1513
M0,1337,D0,0.3632201881071809,0.5621496510071968,0.6384097256448168,0.5021645021645021,0.6270687560876838,0.7642562163030676,0.7171261682242991,22921,4402,7705,7772
M0,1337,D1,0.2185590921062015,0.3941135248773651,0.5226765799256505,0.31631046119235096,0.4742991789233233,0.6815906468892823,0.6955633802816902,8471,1284,3039,1406
MRT,1337,D0+D1,0.3409350929801041,0.5498175083074577,0.6010600285850405,0.5066258407790383,0.5938809848796954,0.7486439170047828,0.7100350877192982,30379,6699,9829,10093
MREC,1337,D1,0.30556945088112647,0.46332046332046334,0.5985037406483791,0.3779527559055118,0.5717029007317316,0.7506506484229194,0.7259154929577465,8628,1127,2765,1680
MFT,1337,D1,0.24360129907500064,0.40485367594575306,0.55390625,0.3190101237345332,0.5004522675660603,0.7069822807259293,0.7064084507042253,8613,1142,3027,1418
M0,2024,D0,0.3725052201276631,0.5836685576757779,0.623750734861846,0.5484266976804291,0.6239827599669144,0.763121014378634,0.7170794392523364,22203,5120,6989,8488
M0,2024,D1,0.22347881293580543,0.41565379991986107,0.5115055884286653,0.3500562429696288,0.4744070105317773,0.6845486292685992,0.6919014084507042,8269,1486,2889,1556
MRT,2024,D0+D1,0.3505141755852063,0.5518575851393189,0.6141257536606374,0.5010541110330288,0.6040474413311132,0.7552978488915444,0.7155789473684211,30806,6272,9940,9982
MREC,2024,D1,0.3194316046240328,0.4481595541868309,0.6436394271272114,0.3437570303712036,0.5833034817294445,0.7575144009100349,0.735,8909,846,2917,1528
MFT,2024,D1,0.23039094743596,0.38239623196938477,0.5530012771392082,0.2922384701912261,0.49771764386635325,0.7057971136488512,0.7045070422535211,8705,1050,3146,1299
GB,42,D0,0.40871435717812066,0.6446674890658293,0.5694121143083553,0.7428442204561607,0.6451817027085035,0.7840414418178709,0.7038785046728971,18629,8694,3980,11497
GB,1337,D0,0.40871435717812066,0.6446674890658293,0.5694121143083553,0.7428442204561607,0.6451817027085035,0.7840414418178709,0.7038785046728971,18629,8694,3980,11497
GB,2024,D0,0.40871435717812066,0.6446674890658293,0.5694121143083553,0.7428442204561607,0.6451817027085035,0.7840414418178709,0.7038785046728971,18629,8694,3980,11497
LR,-1,D0,0.29806981016126904,0.5791413826348324,0.5160442670170297,0.6598177941461524,0.5553035078607327,0.7080315912148587,0.6532242990654206,17746,9577,5265,10212
