modelo,seed,tempo_inferencia_s,mcc,f1,precision,recall,pr_auc,roc_auc,accuracy,tn,fp,fn,tp
M0,42,0.004663900006562471,0.1646542234661301,0.3388370423546303,0.49248747913188645,0.25826220179470344,0.44423161666541466,0.644246690627649,0.6757042253521127,8415,1216,3389,1180
MRT,42,0.004308200004743412,0.18430143478608133,0.3619235095613048,0.506095163193079,0.28168089297439264,0.4615080262075017,0.6573728266171203,0.6804225352112676,8375,1256,3282,1287
MREC,42,0.0047691999934613705,0.1685519908142171,0.31957831325301206,0.5123128923225495,0.2322171153425257,0.46760419069889997,0.6728604958285761,0.681830985915493,8621,1010,3508,1061
MFT,42,0.004507600009674206,0.17514417317062694,0.35602976274041837,0.4964761158966327,0.2775224337929525,0.4581167191315422,0.6620558967325705,0.6769718309859155,8345,1286,3301,1268
M0,1337,0.004506400000536814,0.16156209306745659,0.3412416536439835,0.4862348178137652,0.2628583935215583,0.43525575566202734,0.6317521784761622,0.6734507042253521,8362,1269,3368,1201
MRT,1337,0.004386499989777803,0.17181861573619292,0.3773984385338097,0.47724230254350736,0.31210330488071786,0.4507716880374722,0.6550469492130029,0.668661971830986,8069,1562,3143,1426
MREC,1337,0.004547599994111806,0.16845690977747765,0.3457983790700981,0.4935064935064935,0.266141387612169,0.46465721644912245,0.670743849218023,0.6759859154929577,8383,1248,3353,1216
MFT,1337,0.004460500000277534,0.16797232489679156,0.3242437788705111,0.5079365079365079,0.23812650470562485,0.45845307033441385,0.6617344944176602,0.6806338028169014,8577,1054,3481,1088
M0,2024,0.004446500010089949,0.16064214840303814,0.3608819153253077,0.4723796033994334,0.2919676077916393,0.43365749792136155,0.6319657270551915,0.6672535211267606,8141,1490,3235,1334
MRT,2024,0.004421799996634945,0.18058039683869057,0.35703180212014135,0.5039904229848364,0.2764281024294156,0.4609917452835504,0.6619071376607043,0.6796478873239437,8388,1243,3306,1263
MREC,2024,0.004189800005406141,0.17761196729808018,0.33798267508442226,0.5133809099018734,0.25191507988618955,0.4747765701097253,0.6711789910921585,0.6824647887323944,8540,1091,3418,1151
MFT,2024,0.0056896999885793775,0.16126302585062438,0.31225416036308623,0.5056344928956394,0.22586999343401182,0.4554512859636518,0.6615121739165807,0.6798591549295775,8622,1009,3537,1032
GB,42,0.07417029998032376,0.19784265352647765,0.45569065615072846,0.45614035087719296,0.45524184723134165,0.465740439198456,0.6611053930753947,0.6500704225352113,7151,2480,2489,2080
GB,1337,0.07328790001338348,0.19784265352647765,0.45569065615072846,0.45614035087719296,0.45524184723134165,0.465740439198456,0.6611053930753947,0.6500704225352113,7151,2480,2489,2080
GB,2024,0.07382240000879392,0.19784265352647765,0.45569065615072846,0.45614035087719296,0.45524184723134165,0.465740439198456,0.6611053930753947,0.6500704225352113,7151,2480,2489,2080
LR,-1,0.0036801999958697706,0.13087799593710986,0.39445086705202315,0.418034795393286,0.3733858612387831,0.399458864039823,0.5871802699747629,0.6311267605633802,7256,2375,2863,1706
