modelo,seed,dados_treino,tempo_treino_s,tempo_desde_zero_s,convergiu,avisos,iteracoes,complexidade,tipo_complexidade,tempo_inferencia_s
M0,42,D0,5.225202200002968,5.225202200002968,True,,111,705,pesos_e_vieses,0.004663900006562471
MRT,42,D0+D1,4.791673300002003,4.791673300002003,True,,80,705,pesos_e_vieses,0.004308200004743412
MREC,42,D1,2.2991542000090703,2.2991542000090703,True,,144,705,pesos_e_vieses,0.0047691999934613705
MFT,42,D0 -> D1,0.022814300027675927,5.248016500030644,,Epocas fixas; convergencia nao e criterio de parada do FT.,1,705,pesos_e_vieses,0.004507600009674206
M0,1337,D0,3.9129952999937814,3.9129952999937814,True,,81,705,pesos_e_vieses,0.004506400000536814
MRT,1337,D0+D1,4.601673600001959,4.601673600001959,True,,77,705,pesos_e_vieses,0.004386499989777803
MREC,1337,D1,2.128958400018746,2.128958400018746,True,,151,705,pesos_e_vieses,0.004547599994111806
MFT,1337,D0 -> D1,0.019749099999899045,3.9327443999936804,,Epocas fixas; convergencia nao e criterio de parada do FT.,1,705,pesos_e_vieses,0.004460500000277534
M0,2024,D0,3.4578333999961615,3.4578333999961615,True,,76,705,pesos_e_vieses,0.004446500010089949
MRT,2024,D0+D1,5.9950752000149805,5.9950752000149805,True,,102,705,pesos_e_vieses,0.004421799996634945
MREC,2024,D1,2.417319200001657,2.417319200001657,True,,171,705,pesos_e_vieses,0.004189800005406141
MFT,2024,D0 -> D1,0.01949189999140799,3.4773252999875695,,Epocas fixas; convergencia nao e criterio de parada do FT.,1,705,pesos_e_vieses,0.0056896999885793775
GB,42,D0,0.8340184000262525,0.8340184000262525,,,200,3000,limite_superior_folhas,0.07417029998032376
GB,1337,D0,0.8221195000223815,0.8221195000223815,,,200,3000,limite_superior_folhas,0.07328790001338348
GB,2024,D0,0.8210923000006005,0.8210923000006005,,,200,3000,limite_superior_folhas,0.07382240000879392
LR,-1,D0,3.062121399998432,3.062121399998432,True,,1546,21,pesos_e_vies,0.0036801999958697706
