familia,config,seed,fold,inicio_validacao,fim_treino,n_treino,n_validacao,iteracoes,tempo_treino_s,tempo_inferencia_s,mcc_treino,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
Gradient Boosting,GB00,42,1,2014-08-27,2014-08-13,8500,8600,200,0.26142670001718216,0.0399242999847047,0.5296455409425679,0.42356622149925577,0.6443298969072165,0.6593236115420416,0.630002964719834,0.7272093023255813,0.7844810614411669,0.6586467012309194
Gradient Boosting,GB00,42,2,2016-04-20,2016-04-06,17100,8600,200,0.3784684000129346,0.03857080001034774,0.4870480135979307,0.352315934377699,0.5802937778511306,0.5915208613728129,0.5694849368318756,0.7043023255813954,0.7450309604808988,0.5873503069815068
Gradient Boosting,GB00,42,3,2017-12-13,2017-11-29,25700,8500,200,0.7049186000076588,0.08358919998863712,0.446457811982706,0.2902706615119521,0.501364522417154,0.5481670929241261,0.4619252873563218,0.6990588235294117,0.7138197037655944,0.5174192424801524
Gradient Boosting,GB00,42,4,2019-07-31,2019-07-17,34200,8500,200,1.4516820999851916,0.09926019998965785,0.41589785938213975,0.2753385760322691,0.47568881685575365,0.5646945646945647,0.4109205460273014,0.6955294117647058,0.7169182444590952,0.537463780768369
Gradient Boosting,GB01,42,1,2014-08-27,2014-08-13,8500,8600,200,0.6438272000232246,0.09846760000800714,0.5314003949357874,0.4411230264046586,0.678237650200267,0.6169540927860092,0.7530388378298251,0.7197674418604652,0.7855725400354869,0.6644495163848646
Gradient Boosting,GB01,42,2,2016-04-20,2016-04-06,17100,8600,200,0.8732462000043597,0.08410119998734444,0.49639802239238257,0.35748009972038713,0.608137669534782,0.553050397877984,0.6754130223517979,0.6875581395348838,0.7445318016472653,0.5875224867250883
Gradient Boosting,GB01,42,3,2017-12-13,2017-11-29,25700,8500,200,1.1309311999939382,0.08434299999498762,0.45701089397311023,0.31393391970814394,0.5557749259624877,0.5127504553734062,0.6066810344827587,0.6823529411764706,0.7142236414923223,0.5214597002574222
Gradient Boosting,GB01,42,4,2019-07-31,2019-07-17,34200,8500,200,1.4822747000143863,0.09736630000406876,0.4292723561426002,0.3041897785644894,0.5532953620829943,0.5170316301703163,0.5950297514875744,0.6770588235294117,0.7158474749893795,0.5363538361530212
Gradient Boosting,GB02,42,1,2014-08-27,2014-08-13,8500,8600,200,0.6016574999957811,0.09766989998752251,0.51973666332779,0.4222096565252604,0.6429656639319355,0.6593954502960424,0.6273347168692559,0.7267441860465116,0.785112035724562,0.6614043632434793
Gradient Boosting,GB02,42,2,2016-04-20,2016-04-06,17100,8600,200,0.8654665999929421,0.09052269998937845,0.4841680077540447,0.35006629108480425,0.5788778877887789,0.5899764547595022,0.5681891804340784,0.7032558139534884,0.7440399289461062,0.5879345857215142
Gradient Boosting,GB02,42,3,2017-12-13,2017-11-29,25700,8500,200,1.1318113000015728,0.08197129998006858,0.44938596128988345,0.28935898247159286,0.5003903200624512,0.5478632478632479,0.46048850574712646,0.6988235294117647,0.7134092934835066,0.5187743775044948
Gradient Boosting,GB02,42,4,2019-07-31,2019-07-17,34200,8500,200,1.4729712999833282,0.09512040001573041,0.4169084748208126,0.2708728809110042,0.47320525783619816,0.5603448275862069,0.4095204760238012,0.6935294117647058,0.7165153490706611,0.537010216758109
