familia,config,seed,fold,inicio_validacao,fim_treino,n_treino,n_validacao,iteracoes,tempo_treino_s,tempo_inferencia_s,mcc_treino,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
Gradient Boosting,GB01,42,1,2014-08-27,2014-08-13,8500,8600,200,0.6438272000232246,0.09846760000800714,0.5314003949357874,0.4411230264046586,0.678237650200267,0.6169540927860092,0.7530388378298251,0.7197674418604652,0.7855725400354869,0.6644495163848646
Gradient Boosting,GB01,42,2,2016-04-20,2016-04-06,17100,8600,200,0.8732462000043597,0.08410119998734444,0.49639802239238257,0.35748009972038713,0.608137669534782,0.553050397877984,0.6754130223517979,0.6875581395348838,0.7445318016472653,0.5875224867250883
Gradient Boosting,GB01,42,3,2017-12-13,2017-11-29,25700,8500,200,1.1309311999939382,0.08434299999498762,0.45701089397311023,0.31393391970814394,0.5557749259624877,0.5127504553734062,0.6066810344827587,0.6823529411764706,0.7142236414923223,0.5214597002574222
Gradient Boosting,GB01,42,4,2019-07-31,2019-07-17,34200,8500,200,1.4822747000143863,0.09736630000406876,0.4292723561426002,0.3041897785644894,0.5532953620829943,0.5170316301703163,0.5950297514875744,0.6770588235294117,0.7158474749893795,0.5363538361530212
Gradient Boosting,GB01,1337,1,2014-08-27,2014-08-13,8500,8600,200,0.6848224000132177,0.12817740000900812,0.5314003949357874,0.4411230264046586,0.678237650200267,0.6169540927860092,0.7530388378298251,0.7197674418604652,0.7855725400354869,0.6644495163848646
Gradient Boosting,GB01,1337,2,2016-04-20,2016-04-06,17100,8600,200,0.9223342000041157,0.08693200000561774,0.49639802239238257,0.35748009972038713,0.608137669534782,0.553050397877984,0.6754130223517979,0.6875581395348838,0.7445318016472653,0.5875224867250883
Gradient Boosting,GB01,1337,3,2017-12-13,2017-11-29,25700,8500,200,1.3394288000126835,0.09184830001322553,0.45701089397311023,0.31393391970814394,0.5557749259624877,0.5127504553734062,0.6066810344827587,0.6823529411764706,0.7142236414923223,0.5214597002574222
Gradient Boosting,GB01,1337,4,2019-07-31,2019-07-17,34200,8500,200,1.8691313000163063,0.14867240001331083,0.4292723561426002,0.3041897785644894,0.5532953620829943,0.5170316301703163,0.5950297514875744,0.6770588235294117,0.7158474749893795,0.5363538361530212
Gradient Boosting,GB01,2024,1,2014-08-27,2014-08-13,8500,8600,200,0.7867830999894068,0.09594450000440702,0.5314003949357874,0.4411230264046586,0.678237650200267,0.6169540927860092,0.7530388378298251,0.7197674418604652,0.7855725400354869,0.6644495163848646
Gradient Boosting,GB01,2024,2,2016-04-20,2016-04-06,17100,8600,200,0.9076098999939859,0.0875258999876678,0.49639802239238257,0.35748009972038713,0.608137669534782,0.553050397877984,0.6754130223517979,0.6875581395348838,0.7445318016472653,0.5875224867250883
Gradient Boosting,GB01,2024,3,2017-12-13,2017-11-29,25700,8500,200,1.2576961999875493,0.11224529999890365,0.45701089397311023,0.31393391970814394,0.5557749259624877,0.5127504553734062,0.6066810344827587,0.6823529411764706,0.7142236414923223,0.5214597002574222
Gradient Boosting,GB01,2024,4,2019-07-31,2019-07-17,34200,8500,200,1.5054608999926131,0.10223670001141727,0.4292723561426002,0.3041897785644894,0.5532953620829943,0.5170316301703163,0.5950297514875744,0.6770588235294117,0.7158474749893795,0.5363538361530212
MLP,MLP_escolhida,42,1,2014-08-27,2014-08-13,8500,8600,144,4.163084400002845,0.0067974000121466815,0.4670303693890291,0.4152430213857657,0.6433149500670741,0.6468824940047961,0.6397865401719538,0.7217441860465116,0.766908758038761,0.6418919915514736
MLP,MLP_escolhida,42,2,2016-04-20,2016-04-06,17100,8600,107,6.798807899991516,0.012608199991518632,0.4544713799773812,0.3437231864633039,0.5779442906010751,0.5812581913499345,0.5746679624230645,0.6987209302325581,0.7398852175595088,0.5823024827678999
MLP,MLP_escolhida,42,3,2017-12-13,2017-11-29,25700,8500,72,6.4383450000023,0.00657979998504743,0.42367590687824486,0.28218377030081265,0.51131971286582,0.5243488108720272,0.4989224137931034,0.6876470588235294,0.6981356652630648,0.5101056709425342
MLP,MLP_escolhida,42,4,2019-07-31,2019-07-17,34200,8500,84,10.3824864999915,0.007813500007614493,0.37909455913844037,0.2439595339715828,0.43934288121314236,0.5515600211528292,0.36506825341267063,0.6868235294117647,0.6988552511091796,0.5181114998825195
MLP,MLP_escolhida,1337,1,2014-08-27,2014-08-13,8500,8600,86,2.428722699987702,0.006186899991007522,0.4544711925129417,0.4033260139494009,0.63434404082858,0.6424445120097294,0.6264453009190631,0.7167441860465116,0.7660145209447786,0.6393922721648295
MLP,MLP_escolhida,1337,2,2016-04-20,2016-04-06,17100,8600,81,5.423632199992426,0.007618100004037842,0.4364696371567426,0.3267107578003362,0.5528259749183989,0.5885149963423555,0.5212180110139294,0.6973255813953488,0.734283768183234,0.5796750767426361
MLP,MLP_escolhida,1337,3,2017-12-13,2017-11-29,25700,8500,64,5.384477999992669,0.007964499993249774,0.41172887522133256,0.2546817937107661,0.47318611987381703,0.5244755244755245,0.43103448275862066,0.6856470588235294,0.6939281272371163,0.5006105196513787
MLP,MLP_escolhida,1337,4,2019-07-31,2019-07-17,34200,8500,97,11.33921880001435,0.007066499994834885,0.3713440416343596,0.23049205280271162,0.40930232558139534,0.5572979493365501,0.3234161708085404,0.686235294117647,0.6929615220792937,0.5181084565456194
MLP,MLP_escolhida,2024,1,2014-08-27,2014-08-13,8500,8600,171,4.551518299995223,0.008427799999481067,0.46171286311659604,0.3783536717047971,0.6151736745886655,0.6327170166092134,0.5985769344796916,0.7062790697674418,0.7620741717657826,0.6266761850457683
MLP,MLP_escolhida,2024,2,2016-04-20,2016-04-06,17100,8600,148,9.054226699983701,0.007221799984108657,0.4655934597992649,0.34796385884534065,0.5875474083438685,0.5735883986423943,0.6022027858762553,0.6965116279069767,0.7397035930798429,0.5869171601241457
